Date_Target,UptTARGET,Date_unMesAntes,FECHA,UptTotal_unMesAntes,UptHardware_unMesAntes,DwtAdmin_unMesAntes,UptComunicacion_unMesAntes,UptPromCass_unMesAntes,UptBillete_unMesAntes,TX_unMesAntes,Tasa_de_Utilizacion_unMesAntes,Importe_unMesAntes,UP_RED_unMesAntes
2015-12-01,73.42,2015-11-01,2015-11-01,76.45,83.18,1.97,96.59,26.14,91.22,10507.0,1.05,115847595438.0,75.9
2016-01-01,83.47,2015-12-01,2015-12-01,73.42,83.96,1.26,96.65,25.58,89.36,11714.0,1.17,164455872271.0,72.05
2016-02-01,80.69,2016-01-01,2016-01-01,83.47,88.44,0.85,96.82,26.96,95.06,11615.0,1.16,95491480573.0,83.79
2016-03-01,81.84,2016-02-01,2016-02-01,80.69,88.49,2.05,94.92,26.92,95.66,10325.0,1.03,89807350804.0,80.61
2016-04-01,82.17,2016-03-01,2016-03-01,81.84,88.29,1.48,97.32,26.97,95.65,11538.0,1.15,109827581533.0,81.89
2016-05-01,80.8,2016-04-01,2016-04-01,82.17,87.57,0.76,97.25,26.94,95.76,10745.0,1.07,101557789726.0,82.72
2016-06-01,75.99,2016-05-01,2016-05-01,80.8,86.5,1.21,97.2,26.28,93.8,11620.0,1.16,101590350661.0,79.77
2016-07-01,77.69,2016-06-01,2016-06-01,75.99,86.52,1.32,97.34,24.16,90.29,11187.0,1.12,114161879382.0,77.51
2016-08-01,82.85,2016-07-01,2016-07-01,77.69,85.48,1.05,98.4,24.48,91.93,11938.0,1.19,117992830369.0,78.08
2016-09-01,81.84,2016-08-01,2016-08-01,82.85,87.46,0.9,98.2,25.49,95.8,10956.0,1.1,106799747348.0,83.51
2016-10-01,75.31,2016-09-01,2016-09-01,81.84,88.18,0.97,98.56,25.37,93.84,10725.0,1.07,113596202523.0,82.33
2016-11-01,81.39,2016-10-01,2016-10-01,75.31,84.5,1.22,97.51,24.29,89.87,9333.0,0.93,96813819370.0,77.04
2016-12-01,69.87,2016-11-01,2016-11-01,81.39,86.82,0.98,97.66,25.54,94.57,11186.0,1.12,123333365503.0,81.82
2017-01-01,79.03,2016-12-01,2016-12-01,69.87,83.27,1.12,96.71,25.05,86.6,11148.0,1.11,156504110537.0,70.07
2017-02-01,83.53,2017-01-01,2017-01-01,79.03,86.57,1.31,96.36,27.6,93.6,10997.0,1.1,90412024796.0,77.1
2017-03-01,80.16,2017-02-01,2017-02-01,83.53,89.18,1.0,98.72,28.38,94.96,10688.0,1.07,92968249010.0,83.05
2017-04-01,69.59,2017-03-01,2017-03-01,80.16,88.01,1.33,98.93,26.11,92.61,11301.0,1.13,107573056399.0,79.74
2017-05-01,76.28,2017-04-01,2017-04-01,69.59,84.15,1.65,98.88,25.46,87.97,9100.0,0.91,86009572679.0,69.6
2017-06-01,72.31,2017-05-01,2017-05-01,76.28,86.68,1.77,97.44,26.87,91.23,10970.0,1.1,95907326095.0,76.09
2017-07-01,79.17,2017-06-01,2017-06-01,72.31,85.44,1.53,97.31,28.95,89.21,10645.0,1.06,108633313569.0,73.62
2017-08-01,77.38,2017-07-01,2017-07-01,79.17,89.01,1.17,97.72,30.93,92.37,12165.0,1.22,120240602141.0,79.88
2017-09-01,79.42,2017-08-01,2017-08-01,77.38,87.3,1.49,97.73,28.31,91.46,10232.0,1.02,99748514783.0,77.8
2017-10-01,80.11,2017-09-01,2017-09-01,79.42,88.0,1.11,98.47,27.03,92.11,10407.0,1.04,110237175029.0,79.37
2017-11-01,75.32,2017-10-01,2017-10-01,80.11,88.4,1.08,98.78,27.65,92.4,9928.0,0.99,102984398748.0,80.36
