FECHA,UptTotal,UptHardware,DwtAdmin,UptComunicacion,UptPromCass,UptBillete,UptOpenST,TX,Tasa de Utilizacion,UP RED,Importe
2015-10,79.28,85.76,1.3,95.69,26.77,93.76,95.72,,,80.4,
2015-11,76.45,83.18,1.97,96.59,26.14,91.22,96.01,,,75.9,
2015-12,73.42,83.96,1.26,96.65,25.58,89.36,96.72,,,72.05,
2016-01,83.47,88.44,0.85,96.82,26.96,95.06,97.35,,,83.79,
2016-02,80.69,88.49,2.05,94.92,26.92,95.66,96.73,,,80.61,
2016-03,81.84,88.29,1.48,97.32,26.97,95.65,95.86,,,81.89,
2016-04,82.17,87.57,0.76,97.25,26.94,95.76,97.22,,,82.72,
2016-05,80.8,86.5,1.21,97.2,26.28,93.8,96.34,,,79.77,
2016-06,75.99,86.52,1.32,97.34,24.16,90.29,96.78,,,77.51,
2016-07,77.69,85.48,1.05,98.4,24.48,91.93,96.76,,,78.08,
2016-08,82.85,87.46,0.9,98.2,25.49,95.8,97.15,,,83.51,
2016-09,81.84,88.18,0.97,98.56,25.37,93.84,97.93,,,82.33,
2016-10,75.31,84.5,1.22,97.51,24.29,89.87,96.02,,,77.04,
2016-11,81.39,86.82,0.98,97.66,25.54,94.57,97.75,,,81.82,
2016-12,69.87,83.27,1.12,96.71,25.05,86.6,97.11,,,70.07,
2017-01,79.03,86.57,1.31,96.36,27.6,93.6,96.56,,,77.1,
2017-02,83.53,89.18,1.0,98.72,28.38,94.96,97.82,,,83.05,
2017-03,80.16,88.01,1.33,98.93,26.11,92.61,97.45,,,79.74,
2017-04,69.59,84.15,1.65,98.88,25.46,87.97,96.55,,,69.6,
2017-05,76.28,86.68,1.77,97.44,26.87,91.23,96.57,,,76.09,
2017-06,72.31,85.44,1.53,97.31,28.95,89.21,96.53,,,73.62,
2017-07,79.17,89.01,1.17,97.72,30.93,92.37,97.74,,,79.88,
2017-08,77.38,87.3,1.49,97.73,28.31,91.46,97.33,,,77.8,
2017-09,79.42,88.0,1.11,98.47,27.03,92.11,96.96,,,79.37,
2017-10,80.11,88.4,1.08,98.78,27.65,92.4,97.43,,,80.36,
2017-11,75.32,87.21,1.49,98.75,26.08,90.57,96.58,,,74.17,
2017-12,76.98,89.46,2.0,98.34,33.05,91.04,96.2,,,75.25,
2018-01,81.46,91.09,1.37,95.86,32.49,93.72,95.41,11335.0,1.13,80.43,93191997214.6
2018-02,78.48,91.13,1.32,98.68,32.31,90.83,96.2,10042.0,1.0,76.95,87347637762.9
2018-03,80.31,89.21,1.09,97.28,32.1,93.79,96.48,11322.0,1.13,77.46,107774353286.1
2018-04,75.34,87.63,1.42,96.82,30.45,90.97,95.86,9852.0,0.99,73.87,93116269660.3
2018-05,74.63,88.14,1.37,97.53,28.92,91.77,97.0,10733.0,1.07,74.17,93832770666.4
2018-06,74.55,90.69,1.44,95.95,30.29,90.87,96.38,10975.0,1.1,74.95,111998527542.6
2018-07,73.39,88.37,1.17,96.68,28.07,90.56,97.43,11277.0,1.13,73.72,111462142113.2
2018-08,82.8,91.95,0.86,98.31,32.06,93.94,96.57,10949.0,1.09,82.7,106735293668.3
2018-09,80.5,90.93,0.93,97.89,32.4,92.83,95.26,10549.0,1.05,80.56,111736245150.6
2018-10,83.43,91.6,0.87,98.86,31.51,94.43,96.96,10339.0,1.03,82.49,107252382817.8
2018-11,74.69,88.56,1.15,97.29,31.4,90.72,96.44,10265.0,1.03,73.76,113180600435.0
2018-12,69.35,87.46,1.33,98.45,31.92,88.13,96.92,11065.0,1.11,68.28,155339345437.4
2019-01,79.84,90.7,1.04,97.91,33.59,94.22,96.94,10217.0,1.02,79.79,113008729639.2
2019-02,85.38,91.7,0.95,98.77,34.45,96.26,97.86,10416.0,1.04,85.38,113757152656.73
2019-03,78.7,90.85,0.84,96.92,35.48,92.47,97.14,11550.0,1.15,78.5,135461734856.5
2019-04,81.77,89.92,0.99,98.91,37.36,92.92,97.31,11567.0,1.16,80.88,122879399329.4
2019-05,79.69,88.74,1.34,98.76,36.93,93.32,97.0,11664.0,1.17,79.89,136748248987.2
2019-06,77.47,87.98,0.88,97.4,38.27,93.46,96.59,11477.0,1.15,77.77,154569988172.0
2019-07,82.49,91.52,1.08,99.23,40.25,93.92,97.68,11286.0,1.13,83.14,150386182020.77
2019-08,91.17,93.57,0.81,99.38,44.18,97.23,98.22,12156.0,1.22,91.59,151004430401.64
2019-09,88.01,92.3,0.91,99.14,41.3,96.5,98.01,10931.0,1.09,88.05,148051942184.73
2019-10,84.89,92.6,1.21,98.94,42.17,93.51,97.52,11878.0,1.19,85.0,160519648407.04
2019-11,86.77,93.27,1.17,99.03,45.66,94.48,97.32,11755.0,1.18,86.14,160539829533.66
2019-12,75.3,92.54,1.67,99.0,41.62,88.13,97.18,12990.0,1.3,75.84,219072763733.55
2020-01,87.98,91.8,1.43,98.81,45.8,95.56,97.06,11427.0,1.14,88.42,173427396750.29
2020-02,83.36,90.32,0.8,98.9,49.3,93.75,96.09,11121.0,1.11,82.71,172201675091.22
2020-03,81.47,90.99,0.74,99.05,45.44,90.92,97.13,10268.0,1.03,81.35,185660740990.0
2020-04,93.96,96.12,0.82,99.23,48.29,98.33,97.9,11798.0,1.18,94.08,206355369480.0
2020-05,89.5,92.74,0.94,99.15,44.71,95.29,97.81,11450.0,1.15,89.71,247183492710.0
2020-06,83.97,91.26,1.06,99.64,41.52,92.67,97.28,11527.0,1.15,82.55,265376011000.0
2020-07,82.21,90.28,1.47,99.4,38.3,90.53,96.24,11421.0,1.14,92.62,269039330900.0
2020-08,86.84,93.0,1.22,98.74,43.22,93.63,97.35,11224.0,1.12,86.59,258589810400.0
2020-09,85.81,92.81,0.97,98.65,41.4,92.98,97.07,10822.0,1.08,85.17,259304152600.0
2020-10,83.02,90.42,1.09,98.2,42.89,92.57,96.31,10481.0,1.05,83.17,265290155000.0
2020-11,81.85,89.22,1.0,97.84,46.16,94.95,95.57,9986.0,1.0,82.77,245136869650.0
2020-12,67.03,85.5,1.11,97.94,41.26,87.3,94.99,11524.0,1.15,67.92,359909909700.0
2021-01,83.38,90.38,0.96,98.48,46.05,95.96,95.51,10030.0,1.0,83.75,271174795100.0
2021-02,80.59,90.51,1.08,98.89,43.87,93.45,95.91,9551.0,0.96,81.26,263806863300.0
2021-03,81.16,91.08,0.82,98.86,39.63,92.77,97.17,10450.0,1.05,80.84,294646253800.0
2021-04,76.24,89.15,1.07,98.59,38.96,90.23,95.82,9770.0,0.98,76.88,283736399700.0
2021-05,75.81,88.5,0.77,98.99,39.11,88.92,96.42,9648.0,0.96,75.99,297866586600.0
2021-06,68.66,88.06,1.03,99.15,38.08,86.29,97.11,10630.0,1.06,67.84,347169161400.0
