ATM,FECHA,UptTotal,UptHardware,DwtAdmin,UptComunicacion,UptPromCass,UptBillete,UptOpenST,TX,Ubicacion,Direccion,Localidad,Cod Postal,Provincia,Pais,Direccion Completa,Coordenadas MAPS (PUNTO),Coordenadas BING (COMA),Latitud,Longitud,Responsable,Detalle,Q en SITE,Tasa de Utilizacion
3402,2018-01-01,,,,,,,,1.0,Dist. Villa Hortensia,Warnes 1917,Rosario,S2000,Santa fe,Argentina,"Warnes 1917, Rosario, S2000, Santa fe, Argentina","-32.89493, -60.69392","-32,89493, -60,69392","-32,89493","-60,69392",BRINKS,BR,1,0.0001
3402,2018-02-01,,,,,,,,3306.0,Dist. Villa Hortensia,Warnes 1917,Rosario,S2000,Santa fe,Argentina,"Warnes 1917, Rosario, S2000, Santa fe, Argentina","-32.89493, -60.69392","-32,89493, -60,69392","-32,89493","-60,69392",BRINKS,BR,1,0.3306
3402,2018-03-01,88.25,98.68,0.12,94.11,36.43,97.24,99.76,4303.0,Dist. Villa Hortensia,Warnes 1917,Rosario,S2000,Santa fe,Argentina,"Warnes 1917, Rosario, S2000, Santa fe, Argentina","-32.89493, -60.69392","-32,89493, -60,69392","-32,89493","-60,69392",BRINKS,BR,1,0.4303
3402,2018-04-01,53.55,51.78,12.44,95.29,14.4,53.68,80.44,2213.0,Dist. Villa Hortensia,Warnes 1917,Rosario,S2000,Santa fe,Argentina,"Warnes 1917, Rosario, S2000, Santa fe, Argentina","-32.89493, -60.69392","-32,89493, -60,69392","-32,89493","-60,69392",BRINKS,BR,1,0.2213
3402,2018-05-01,61.71,89.55,0.1,71.32,27.45,93.23,96.38,3745.0,Dist. Villa Hortensia,Warnes 1917,Rosario,S2000,Santa fe,Argentina,"Warnes 1917, Rosario, S2000, Santa fe, Argentina","-32.89493, -60.69392","-32,89493, -60,69392","-32,89493","-60,69392",BRINKS,BR,1,0.3745
3402,2018-06-01,97.08,99.57,0.26,99.31,28.73,97.98,99.45,6254.0,Dist. Villa Hortensia,Warnes 1917,Rosario,S2000,Santa fe,Argentina,"Warnes 1917, Rosario, S2000, Santa fe, Argentina","-32.89493, -60.69392","-32,89493, -60,69392","-32,89493","-60,69392",BRINKS,BR,1,0.6254
3402,2018-07-01,96.07,98.8,0.2,99.67,26.36,97.01,99.3,7515.0,Dist. Villa Hortensia,Warnes 1917,Rosario,S2000,Santa fe,Argentina,"Warnes 1917, Rosario, S2000, Santa fe, Argentina","-32.89493, -60.69392","-32,89493, -60,69392","-32,89493","-60,69392",BRINKS,BR,1,0.7515
3402,2018-08-01,71.88,76.66,0.27,99.82,26.27,97.41,95.25,6946.0,Dist. Villa Hortensia,Warnes 1917,Rosario,S2000,Santa fe,Argentina,"Warnes 1917, Rosario, S2000, Santa fe, Argentina","-32.89493, -60.69392","-32,89493, -60,69392","-32,89493","-60,69392",BRINKS,BR,1,0.6946
3402,2018-09-01,48.83,54.52,0.25,99.08,21.01,80.4,84.76,5979.0,Dist. Villa Hortensia,Warnes 1917,Rosario,S2000,Santa fe,Argentina,"Warnes 1917, Rosario, S2000, Santa fe, Argentina","-32.89493, -60.69392","-32,89493, -60,69392","-32,89493","-60,69392",BRINKS,BR,1,0.5979
3402,2018-10-01,89.49,92.16,0.24,99.81,26.3,97.88,97.13,7988.0,Dist. Villa Hortensia,Warnes 1917,Rosario,S2000,Santa fe,Argentina,"Warnes 1917, Rosario, S2000, Santa fe, Argentina","-32.89493, -60.69392","-32,89493, -60,69392","-32,89493","-60,69392",BRINKS,BR,1,0.7988
3402,2018-11-01,74.17,94.13,0.27,97.03,25.4,96.19,99.72,8361.0,Dist. Villa Hortensia,Warnes 1917,Rosario,S2000,Santa fe,Argentina,"Warnes 1917, Rosario, S2000, Santa fe, Argentina","-32.89493, -60.69392","-32,89493, -60,69392","-32,89493","-60,69392",BRINKS,BR,1,0.8361
3402,2018-12-01,68.2,94.06,0.24,98.98,29.1,95.32,99.75,8421.0,Dist. Villa Hortensia,Warnes 1917,Rosario,S2000,Santa fe,Argentina,"Warnes 1917, Rosario, S2000, Santa fe, Argentina","-32.89493, -60.69392","-32,89493, -60,69392","-32,89493","-60,69392",BRINKS,BR,1,0.8421
3402,2019-01-01,71.32,99.62,0.26,99.04,28.33,90.94,99.13,8866.0,Dist. Villa Hortensia,Warnes 1917,Rosario,S2000,Santa fe,Argentina,"Warnes 1917, Rosario, S2000, Santa fe, Argentina","-32.89493, -60.69392","-32,89493, -60,69392","-32,89493","-60,69392",BRINKS,BR,1,0.8866
3402,2019-02-01,90.33,95.53,0.2,99.84,30.81,100.0,99.78,8653.0,Dist. Villa Hortensia,Warnes 1917,Rosario,S2000,Santa fe,Argentina,"Warnes 1917, Rosario, S2000, Santa fe, Argentina","-32.89493, -60.69392","-32,89493, -60,69392","-32,89493","-60,69392",BRINKS,BR,1,0.8653
3402,2019-03-01,71.17,86.57,0.14,87.52,38.5,96.49,93.98,10092.0,Dist. Villa Hortensia,Warnes 1917,Rosario,S2000,Santa fe,Argentina,"Warnes 1917, Rosario, S2000, Santa fe, Argentina","-32.89493, -60.69392","-32,89493, -60,69392","-32,89493","-60,69392",BRINKS,BR,1,1.0092
3402,2019-04-01,80.11,98.09,0.13,98.66,37.42,100.0,99.87,10824.0,Dist. Villa Hortensia,Warnes 1917,Rosario,S2000,Santa fe,Argentina,"Warnes 1917, Rosario, S2000, Santa fe, Argentina","-32.89493, -60.69392","-32,89493, -60,69392","-32,89493","-60,69392",BRINKS,BR,1,1.0824
3402,2019-05-01,60.99,86.62,3.05,93.43,31.25,94.04,95.55,10285.0,Dist. Villa Hortensia,Warnes 1917,Rosario,S2000,Santa fe,Argentina,"Warnes 1917, Rosario, S2000, Santa fe, Argentina","-32.89493, -60.69392","-32,89493, -60,69392","-32,89493","-60,69392",BRINKS,BR,1,1.0285
3402,2019-06-01,67.78,84.88,0.18,98.56,35.92,96.54,84.48,9651.0,Dist. Villa Hortensia,Warnes 1917,Rosario,S2000,Santa fe,Argentina,"Warnes 1917, Rosario, S2000, Santa fe, Argentina","-32.89493, -60.69392","-32,89493, -60,69392","-32,89493","-60,69392",BRINKS,BR,1,0.9651
3402,2019-07-01,90.54,99.95,0.23,99.96,40.23,94.88,99.72,13016.0,Dist. Villa Hortensia,Warnes 1917,Rosario,S2000,Santa fe,Argentina,"Warnes 1917, Rosario, S2000, Santa fe, Argentina","-32.89493, -60.69392","-32,89493, -60,69392","-32,89493","-60,69392",BRINKS,BR,1,1.3016
3402,2019-08-01,90.61,93.35,0.22,99.99,42.03,96.27,99.77,13913.0,Dist. Villa Hortensia,Warnes 1917,Rosario,S2000,Santa fe,Argentina,"Warnes 1917, Rosario, S2000, Santa fe, Argentina","-32.89493, -60.69392","-32,89493, -60,69392","-32,89493","-60,69392",BRINKS,BR,1,1.3913
3402,2019-09-01,91.62,95.25,0.26,99.94,45.02,97.19,99.71,12542.0,Dist. Villa Hortensia,Warnes 1917,Rosario,S2000,Santa fe,Argentina,"Warnes 1917, Rosario, S2000, Santa fe, Argentina","-32.89493, -60.69392","-32,89493, -60,69392","-32,89493","-60,69392",BRINKS,BR,1,1.2542
