ATM,FECHA,UptTotal,UptHardware,DwtAdmin,UptComunicacion,UptPromCass,UptBillete,UptOpenST,TX,Ubicacion,Direccion,Localidad,Cod Postal,Provincia,Pais,Direccion Completa,Coordenadas MAPS (PUNTO),Coordenadas BING (COMA),Latitud,Longitud,Responsable,Detalle,Q en SITE,Tasa de Utilizacion
3402,2018-03-01,88.25,98.68,0.12,94.11,36.43,97.24,99.76,,Dist. Villa Hortensia,Warnes 1917,Rosario,S2000,Santa fe,Argentina,"Warnes 1917, Rosario, S2000, Santa fe, Argentina","-32.89493, -60.69392","-32,89493, -60,69392","-32,89493","-60,69392",BRINKS,BR,1,
3402,2018-04-01,53.55,51.78,12.44,95.29,14.4,53.68,80.44,,Dist. Villa Hortensia,Warnes 1917,Rosario,S2000,Santa fe,Argentina,"Warnes 1917, Rosario, S2000, Santa fe, Argentina","-32.89493, -60.69392","-32,89493, -60,69392","-32,89493","-60,69392",BRINKS,BR,1,
3402,2018-05-01,61.71,89.55,0.1,71.32,27.45,93.23,96.38,,Dist. Villa Hortensia,Warnes 1917,Rosario,S2000,Santa fe,Argentina,"Warnes 1917, Rosario, S2000, Santa fe, Argentina","-32.89493, -60.69392","-32,89493, -60,69392","-32,89493","-60,69392",BRINKS,BR,1,
3402,2018-06-01,97.08,99.57,0.26,99.31,28.73,97.98,99.45,,Dist. Villa Hortensia,Warnes 1917,Rosario,S2000,Santa fe,Argentina,"Warnes 1917, Rosario, S2000, Santa fe, Argentina","-32.89493, -60.69392","-32,89493, -60,69392","-32,89493","-60,69392",BRINKS,BR,1,
3402,2018-07-01,96.07,98.8,0.2,99.67,26.36,97.01,99.3,,Dist. Villa Hortensia,Warnes 1917,Rosario,S2000,Santa fe,Argentina,"Warnes 1917, Rosario, S2000, Santa fe, Argentina","-32.89493, -60.69392","-32,89493, -60,69392","-32,89493","-60,69392",BRINKS,BR,1,
3402,2018-08-01,71.88,76.66,0.27,99.82,26.27,97.41,95.25,,Dist. Villa Hortensia,Warnes 1917,Rosario,S2000,Santa fe,Argentina,"Warnes 1917, Rosario, S2000, Santa fe, Argentina","-32.89493, -60.69392","-32,89493, -60,69392","-32,89493","-60,69392",BRINKS,BR,1,
3402,2018-09-01,48.83,54.52,0.25,99.08,21.01,80.4,84.76,,Dist. Villa Hortensia,Warnes 1917,Rosario,S2000,Santa fe,Argentina,"Warnes 1917, Rosario, S2000, Santa fe, Argentina","-32.89493, -60.69392","-32,89493, -60,69392","-32,89493","-60,69392",BRINKS,BR,1,
3402,2018-10-01,89.49,92.16,0.24,99.81,26.3,97.88,97.13,,Dist. Villa Hortensia,Warnes 1917,Rosario,S2000,Santa fe,Argentina,"Warnes 1917, Rosario, S2000, Santa fe, Argentina","-32.89493, -60.69392","-32,89493, -60,69392","-32,89493","-60,69392",BRINKS,BR,1,
3402,2018-11-01,74.17,94.13,0.27,97.03,25.4,96.19,99.72,,Dist. Villa Hortensia,Warnes 1917,Rosario,S2000,Santa fe,Argentina,"Warnes 1917, Rosario, S2000, Santa fe, Argentina","-32.89493, -60.69392","-32,89493, -60,69392","-32,89493","-60,69392",BRINKS,BR,1,
3402,2018-12-01,68.2,94.06,0.24,98.98,29.1,95.32,99.75,,Dist. Villa Hortensia,Warnes 1917,Rosario,S2000,Santa fe,Argentina,"Warnes 1917, Rosario, S2000, Santa fe, Argentina","-32.89493, -60.69392","-32,89493, -60,69392","-32,89493","-60,69392",BRINKS,BR,1,
3402,2019-01-01,71.32,99.62,0.26,99.04,28.33,90.94,99.13,,Dist. Villa Hortensia,Warnes 1917,Rosario,S2000,Santa fe,Argentina,"Warnes 1917, Rosario, S2000, Santa fe, Argentina","-32.89493, -60.69392","-32,89493, -60,69392","-32,89493","-60,69392",BRINKS,BR,1,
3402,2019-02-01,90.33,95.53,0.2,99.84,30.81,100.0,99.78,,Dist. Villa Hortensia,Warnes 1917,Rosario,S2000,Santa fe,Argentina,"Warnes 1917, Rosario, S2000, Santa fe, Argentina","-32.89493, -60.69392","-32,89493, -60,69392","-32,89493","-60,69392",BRINKS,BR,1,
